1	2156601492
2	247576723
3	72707355
4	36518004
5	21080934
6	13263655
7	8859653
8	6222092
9	4549101
10	3443945
11	2685532
12	2149803
13	1753957
14	1457519
15	1229084
16	1049860
17	905868
18	791782
19	694198
20	611392
21	544029
22	490028
23	441891
24	400582
25	364069
26	331155
27	304418
28	279727
29	258391
30	239503
31	222444
32	206940
33	193787
34	181009
35	169834
36	160375
37	151914
38	142861
39	135440
40	128590
41	123016
42	117397
43	111348
44	106983
45	101883
46	97480
47	93892
48	89884
49	86735
50	83151
51	80254
52	76977
53	75245
54	72573
55	70285
56	68403
57	66688
58	64788
59	63050
60	61300
61	59601
62	57888
63	55821
64	55148
65	53860
66	53212
67	51457
68	50327
69	49642
70	48374
71	47661
72	46804
73	45559
74	44833
75	43421
76	43404
77	43083
78	42350
79	41570
80	41262
81	40271
82	40059
83	39216
84	38537
85	38409
86	38009
87	37492
88	37196
89	36595
90	35929
91	35439
92	35296
93	35365
94	34750
95	34482
96	34102
97	33908
98	33694
99	33472
100	33510
101	32844
102	32619
103	32584
104	32291
105	31916
106	31656
107	31645
108	31481
109	31364
110	31273
111	30921
112	30767
113	30911
114	30500
115	30342
116	29876
117	30288
118	30220
119	30032
120	29885
121	29842
122	29647
123	29828
124	29539
125	29391
126	29463
127	29574
128	29272
129	29027
130	29090
131	29205
132	29187
133	29302
134	29214
135	29442
136	29566
137	29605
138	29576
139	29597
140	29584
141	29672
142	29540
143	29273
144	29295
145	29440
146	29685
147	29408
148	29200
149	29184
150	29064
151	29269
152	29249
153	29139
154	29202
155	29268
156	29341
157	29671
158	29271
159	29355
160	29509
161	29391
162	29586
163	29572
164	29639
165	29608
166	29815
167	29780
168	30132
169	29911
170	29827
171	30019
172	30101
173	29835
174	30224
175	29719
176	29787
177	29997
178	30072
179	30383
180	30388
181	30080
182	30074
183	30143
184	30016
185	30004
186	30283
187	30046
188	30122
189	29997
190	30040
191	30027
192	30321
193	30496
194	30335
195	30390
196	29985
197	30027
198	30295
199	30135
200	30116
201	29926
202	29820
203	30061
204	29988
205	29866
206	29971
207	29816
208	29850
209	29691
210	29422
211	29506
212	29445
213	29362
214	29464
215	29431
216	28728
217	28679
218	28928
219	28544
220	28646
221	28500
222	28524
223	28083
224	28228
225	27879
226	27762
227	27702
228	27248
229	27260
230	27468
231	26901
232	27134
233	26646
234	26787
235	26579
236	26654
237	26655
238	26447
239	26499
240	25886
241	25887
242	25796
243	25665
244	25232
245	25076
246	25057
247	24686
248	24775
249	24491
250	24059
251	24194
252	23855
253	23592
254	23510
255	23316
256	22914
257	23291
258	22787
259	22772
260	22603
261	22429
262	22082
263	22134
264	21919
265	21907
266	21627
267	21142
268	21170
269	20807
270	20678
271	20470
272	20154
273	20096
274	20000
275	19631
276	19403
277	19337
278	19122
279	19093
280	18847
281	18635
282	18236
283	18335
284	18085
285	18023
286	18051
287	17579
288	17647
289	17484
290	17398
291	17103
292	17027
293	16776
294	16864
295	16657
296	16408
297	16161
298	15700
299	15997
300	15881
301	15686
302	15527
303	15286
304	15352
305	15263
306	14849
307	15229
308	14808
309	14729
310	14609
311	14656
312	14414
313	14299
314	13985
315	14172
316	13962
317	13673
318	13694
319	13851
320	13600
321	13138
322	12977
323	13131
324	13009
325	12983
326	12833
327	12682
328	12640
329	12540
330	12440
331	12365
332	12071
333	11962
334	11756
335	11615
336	11733
337	11779
338	11790
339	11613
340	11407
341	11270
342	11358
343	11029
344	11224
345	11105
346	11073
347	11113
348	10906
349	10854
350	10589
351	10529
352	10684
353	10455
354	10420
355	10542
356	10481
357	10320
358	10115
359	10155
360	10097
361	10018
362	10025
363	9981
364	9953
365	9870
366	9813
367	9618
368	9643
369	9649
370	9669
371	9560
372	9399
373	9378
374	9509
375	9378
376	9098
377	9330
378	9136
379	9132
380	8926
381	9137
382	9131
383	9040
384	8849
385	8867
386	8948
387	8817
388	8670
389	8809
390	8632
391	8535
392	8587
393	8616
394	8552
395	8746
396	8698
397	8600
398	8496
399	8464
400	8267
401	8375
402	8509
403	8321
404	8231
405	8340
406	8046
407	8007
408	8133
409	8091
410	8117
411	8039
412	7998
413	7990
414	7869
415	7871
416	8033
417	7887
418	7880
419	7811
420	7755
421	7850
422	7699
423	7732
424	7885
425	7699
426	7641
427	7676
428	7671
429	7747
430	7608
431	7641
432	7525
433	7738
434	7503
435	7559
436	7410
437	7450
438	7299
439	7333
440	7466
441	7404
442	7374
443	7308
444	7210
445	7162
446	7301
447	7069
448	7189
449	7314
450	7298
451	7156
452	7125
453	7089
454	7087
455	6986
456	7135
457	7013
458	7082
459	7146
460	7143
461	7013
462	6915
463	6899
464	6946
465	7080
466	6857
467	7006
468	6781
469	6788
470	6907
471	6807
472	6816
473	6625
474	6559
475	6718
476	6713
477	6665
478	6709
479	6713
480	6718
481	6560
482	6625
483	6653
484	6635
485	6684
486	6855
487	6682
488	6670
489	6566
490	6541
491	6581
492	6495
493	6564
494	6546
495	6386
496	6544
497	6650
498	6507
499	6554
500	6541
501	6610
502	6489
503	6452
504	6419
505	6183
506	6434
507	6454
508	6432
509	6268
510	6396
511	6270
512	6396
513	6232
514	6487
515	6200
516	6352
517	6218
518	6284
519	6301
520	6279
521	6352
522	6184
523	6176
524	6123
525	6411
526	6130
527	6233
528	6201
529	6224
530	6193
531	6338
532	6090
533	6113
534	6202
535	6169
536	6093
537	6008
538	6155
539	6149
540	5950
541	6078
542	6168
543	6090
544	6087
545	5940
546	6053
547	5946
548	6029
549	6115
550	5980
551	5925
552	5962
553	5969
554	5937
555	5980
556	5970
557	5943
558	5874
559	5805
560	5681
561	5784
562	5935
563	6025
564	5898
565	5751
566	5810
567	5587
568	5842
569	5745
570	5787
571	5892
572	5729
573	5835
574	5688
575	5718
576	5769
577	5604
578	5664
579	5631
580	5659
581	5601
582	5580
583	5682
584	5736
585	5631
586	5550
587	5753
588	5605
589	5735
590	5598
591	5689
592	5707
593	5708
594	5583
595	5633
596	5635
597	5585
598	5624
599	5602
600	5550
601	5593
602	5566
603	5459
604	5478
605	5557
606	5554
607	5452
608	5494
609	5371
610	5452
611	5590
612	5448
613	5645
614	5360
615	5452
616	5426
617	5459
618	5456
619	5345
620	5286
621	5364
622	5326
623	5381
624	5267
625	5358
626	5257
627	5275
628	5493
629	5375
630	5279
631	5304
632	5356
633	5288
634	5277
635	5231
636	5331
637	5314
638	5340
639	5383
640	5299
641	5345
642	5279
643	5402
644	5254
645	5312
646	5278
647	5308
648	5267
649	5345
650	5352
651	5316
652	5157
653	5151
654	5216
655	5215
656	5191
657	5315
658	5079
659	5283
660	5201
661	5199
662	5161
663	5214
664	5131
665	5311
666	5165
667	5248
668	5153
669	5183
670	5133
671	5274
672	5176
673	5137
674	5092
675	5210
