h2tg000001l_path	114738	562518	21.3479	0.00733174
h2tg000002l_path	84717	440011	21.6274	0.00687478
h2tg000003l_path	188292	1077934	22.0944	0.00617384
h2tg000004l_path	208839	1089296	21.6479	0.00684248
h2tg000005l_path	38162	185194	21.2983	0.00741603
h2tg000006l_path	166327	922400	21.9425	0.0063937
h2tg000007l_path	134082	784042	22.1955	0.00603179
h2tg000008l_path	114810	576725	21.4659	0.00713522
h2tg000009l_path	53458	231283	20.7351	0.00844294
h2tg000010l_path	144167	813281	22.0242	0.0062745
h2tg000011l_path	46915	316386	22.87	0.00516411
h2tg000012l_path	289833	1532813	21.7145	0.00673826
h2tg000013l_path	60243	270027	20.9096	0.00811027
h2tg000014l_path	212764	1090491	21.5633	0.00697709
h2tg000015l_path	135549	744814	21.8983	0.00645909
h2tg000016l_path	116927	666887	22.0766	0.00619926
